IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.144.156,8443,true,SIN,Asia Pacific,Singapore,288 ms,4034 kB/s
47.238.52.160,80,true,SIN,Asia Pacific,Singapore,79 ms,4024 kB/s
47.238.3.10,80,true,SIN,Asia Pacific,Singapore,63 ms,4022 kB/s
47.237.100.206,2096,true,SIN,Asia Pacific,Singapore,309 ms,4018 kB/s
47.236.17.193,2087,true,SIN,Asia Pacific,Singapore,287 ms,4017 kB/s
47.76.106.86,80,true,SIN,Asia Pacific,Singapore,67 ms,4008 kB/s
47.238.235.163,443,true,HKG,Asia Pacific,Hong Kong,59 ms,4006 kB/s
47.236.87.246,8443,true,SIN,Asia Pacific,Singapore,284 ms,3997 kB/s
47.236.167.231,8443,true,SIN,Asia Pacific,Singapore,287 ms,3980 kB/s
47.237.8.82,2083,true,SIN,Asia Pacific,Singapore,318 ms,3980 kB/s
47.239.13.168,80,true,SIN,Asia Pacific,Singapore,60 ms,3970 kB/s
47.236.104.11,2087,true,SIN,Asia Pacific,Singapore,314 ms,3970 kB/s
47.238.49.85,80,true,SIN,Asia Pacific,Singapore,73 ms,3967 kB/s
47.238.44.224,80,true,SIN,Asia Pacific,Singapore,85 ms,3961 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,306 ms,3959 kB/s
47.76.249.116,80,true,SIN,Asia Pacific,Singapore,58 ms,3958 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,301 ms,3958 kB/s
47.236.102.102,2053,true,SIN,Asia Pacific,Singapore,278 ms,3957 kB/s
47.236.169.164,2083,true,SIN,Asia Pacific,Singapore,309 ms,3935 kB/s
47.76.247.16,80,true,SIN,Asia Pacific,Singapore,61 ms,3930 kB/s
47.236.117.48,8443,true,SIN,Asia Pacific,Singapore,313 ms,3926 kB/s
47.238.52.240,80,true,SIN,Asia Pacific,Singapore,74 ms,3906 kB/s
47.236.145.85,2096,true,SIN,Asia Pacific,Singapore,309 ms,3899 kB/s
47.236.180.51,2053,true,SIN,Asia Pacific,Singapore,292 ms,3897 kB/s
47.236.205.188,2083,true,SIN,Asia Pacific,Singapore,280 ms,3886 kB/s
8.218.132.209,80,true,KUL,Asia Pacific,Kuala Lumpur,55 ms,3871 kB/s
